8/15/16,17,7
8/16/16,16,7
8/17/16,18,7
8/18/16,18,7
8/19/16,25,7
8/20/16,23,7
8/21/16,19,8
8/22/16,17,10
8/23/16,18,10
8/24/16,16,8
8/25/16,18,9
8/26/16,16,9
8/27/16,16,8
8/28/16,15,8
8/29/16,14,6
8/30/16,13,7
8/31/16,19,7
9/1/16,23,7
9/2/16,16,7
9/3/16,15,7
9/4/16,15,7
9/5/16,14,8
9/6/16,15,10
9/7/16,16,10
9/8/16,20,13
9/9/16,16,9
9/10/16,16,9
9/11/16,17,33
9/12/16,17,39
9/13/16,15,27
9/14/16,19,19
9/15/16,19,15
9/16/16,21,13
9/17/16,20,11
9/18/16,16,10
9/19/16,15,10
9/20/16,17,11
9/21/16,18,11
9/22/16,18,12
9/23/16,17,13
9/24/16,17,11
9/25/16,18,11
9/26/16,24,17
9/27/16,82,64
9/28/16,35,23
9/29/16,28,17
9/30/16,30,15
10/1/16,28,14
10/2/16,34,14
10/3/16,30,14
10/4/16,24,14
10/5/16,29,13
10/6/16,24,11
10/7/16,28,10
10/8/16,100,18
10/9/16,85,19
10/10/16,97,44
10/11/16,58,24
10/12/16,47,21
10/13/16,50,19
10/14/16,45,18
10/15/16,41,17
10/16/16,41,17
10/17/16,35,15
10/18/16,33,17
10/19/16,32,17
10/20/16,79,39
10/21/16,42,23
10/22/16,37,18
10/23/16,35,16
10/24/16,31,16
10/25/16,32,16
10/26/16,34,18
10/27/16,33,17
10/28/16,32,30
10/29/16,32,34
10/30/16,31,27
10/31/16,31,26
11/1/16,36,26
11/2/16,39,28
11/3/16,38,30
11/4/16,39,30
11/5/16,41,29
11/6/16,69,34
